145;157;IPv4 Unicast;85.31.223.0/24
146;154;IPv4 Unicast;202.78.121.0/24
147;155;IPv4 Unicast;206.197.187.0/24
148;165;IPv4 Unicast;198.32.195.0/24
149;161;IPv4 Unicast;195.60.84.128/25
150;50;IPv6 Unicast;2001:7F8:30::/64
151;170;IPv4 Unicast;194.54.92.0/25
152;172;IPv4 Unicast;192.121.80.0/24
153;184;IPv4 Unicast;195.35.65.0/24
155;12;IPv6 Unicast;2001:504:f::/64
156;10;IPv6 Unicast;2001:504:e::/64
158;70;IPv4 Unicast;194.68.128.0/24
159;70;IPv4 Unicast;195.69.119.0/24
160;70;IPv6 Unicast;2001:7f8:d:ff::/64
161;70;IPv6 Unicast;2001:7f8:d:fc::/64
162;70;IPv6 Unicast;2001:7f8:d:fe::/64
163;70;IPv6 Unicast;2001:7f8:d:fb::/64
164;123;IPv4 Unicast;193.189.82.0/23
165;123;IPv6 Unicast;2001:7f8:33::/48
166;3;IPv6 Unicast;2001:504:0:5::/64
167;5;IPv6 Unicast;2001:504:0:1::/64
168;1;IPv6 Unicast;2001:504:0:2::/64
169;4;IPv6 Unicast;2001:504:0:3::/64
170;2;IPv6 Unicast;2001:504:0:4::/64
172;142;IPv6 Unicast;2001:0504:0013::/64
173;121;IPv4 Unicast;193.201.28.0/25
174;121;IPv4 Unicast;193.201.29.0/25
175;53;IPv4 Multicast;195.35.120.0/24
176;18;IPv4 Multicast;195.66.230.0/26
177;74;IPv4 Unicast;80.81.203.0/24
178;206;IPv4 Unicast;78.41.189.128/26
179;208;IPv4 Unicast;193.189.130.0/24
180;212;IPv4 Unicast;193.138.31.0/24
181;209;IPv4 Unicast;194.9.117.0/24
182;220;IPv4 Unicast;208.38.191.0/24
183;22;IPv6 Unicast;2001:478:132::/64
184;158;IPv4 Unicast;202.79.197.0/24
185;226;IPv4 Unicast;206.51.43.0/24
186;226;IPv6 Unicast;2001:504:13:4:0:0:0:0/64
187;255;IPv4 Unicast;195.42.144.0/23
188;256;IPv4 Unicast;198.32.186.0/24
189;256;IPv6 Unicast;2001:478:186::/64
190;100;IPv6 Unicast;2001:7f8:20:101::/64
191;100;IPv4 Unicast;193.232.246.0/23
193;281;IPv4 Unicast;196.223.7.0/24
194;117;IPv6 Unicast;2001:860:0:6::/64
195;17;IPv6 Unicast;2001:478:124::/48
196;119;IPv4 Unicast;200.136.34.0/24
197;248;IPv4 Unicast;80.81.202.0/24
198;288;IPv4 Unicast;218.100.59.0/24
199;288;IPv6 Unicast;2001:DE8:9::/64
200;13;IPv4 Multicast;206.81.82.0/23
201;260;IPv4 Unicast;200.0.22.0/23
202;260;IPv6 Unicast;2001:13c7:6002::/48
203;60;IPv6 Unicast;2001:7f8:24::/64
204;321;IPv4 Unicast;195.66.236.0/22
205;322;IPv4 Unicast;206.126.114.0/24
206;322;IPv6 Unicast;2001:504:17:114::/64
207;325;IPv4 Unicast;206.126.115.0/24
208;325;IPv6 Unicast;2001:504:17:115::/64
209;40;IPv4 Unicast;193.251.216.0/24
210;40;IPv4 Multicast;193.252.127.0/24
211;40;IPv6 Unicast;2001:7F8:2D::/48
212;342;IPv4 Unicast;93.156.93.0/24
213;89;IPv4 Unicast;144.92.233.224/27
214;89;IPv6 Unicast;2607:f388:0:2200::/64
215;344;IPv4 Unicast;196.223.22.0/24 (Data)
216;333;IPv4 Unicast;206.51.42.0/24
217;333;IPv6 Unicast;2001:504:13:7:0:0:0:0/64
218;332;IPv4 Unicast;206.51.45.0/24
219;332;IPv6 Unicast;2001:504:13:6:0:0:0:0/64
