983;101.203.171.0/24
897;103.10.120.0/22,103.11.28.0/22,116.68.160.0/18,116.68.192.0/22
576;103.2.116.0/24
1090;103.21.204/22
577;103.247.138.0/24
971;103.25.229.0/24
865;103.252.220.0/22
1102;103.31.220.0/22
965;103.41.12.0/22
1037;103.48.48.0/23
1095;103.54.2.0/23
1079;104.192.114.0/24
1088;109.239.136.0/23
324;114.141.48.0/21
1063;114.6.53.0/28
1082;116.50.32.0/20
999;116.68.248.0/24
889;117.120.24.0/21
469;119.110.116.0/23
1014;121.100.24.0/24
1103;122.102.32.0/21,210.1.240.0/20,43.231.20.0/22,120.50.176.0/21,103.240.44.0/22,103.20.180.0/22,103.14.128.0/22
1039;124.40.224.0/20
1104;124.40.244.0/22,103.5.132.0/22,43.247.156.0/22,43.247.159.0/24
1083;131.255.180/22
1015;138.0.172.0/22
89;144.92.233.224/28
888;154.0.0.0/20
933;170.210.0.0/16
1101;175.101.0.0/16
860;176.96.191.0/24
855;177.10.200.0/22
800;177.155.160.0/20
846;177.184.160.0/20
992;177.190.208.1/22
995;177.200.0.0/20
990;177.66.204.0/22
988;177.72.116.0/22
1044;177.73.24.0/21,177.136.208.0/21
883;179.96.131.1
1080;180.253.31.165
1026;183.177.61.0/24
993;185.1.1.0/24
876;185.1.13.0/24
866;185.1.15.0/24
864;185.1.25.0/24
1089;185.1.40.0/24
1073;185.1.43.0/24
861;186.120.0/17,186.120.128/17
894;186.176.0.0/16
706;187.16.194.0/24
708;187.16.196.0/24
707;187.16.198.0/24
709;187.16.199.0/24
790;187.16.202.0/24
498;188.116.45.0/24
940;188.188.0.240/28
358;188.227.0.0/22
1096;189.113.64/20
805;189.28.176.0/20,189.124.112.0/20,177.54.48.0/20,179.127.80/20
816;189.36.144.0/20
920;190.104.64/20,190.112.196/22,190.113.236/22
1020;191.37.64.0/22
831;191.6.224/21
918;191.91.28.0/22
559;192.108.145.0/24
84;192.108.148.0/24
393;192.114.62.0/23
52;192.145.251.0/24
528;192.168.10.0
199;192.168.100.0/24
275;192.168.255.0/24
78;192.38.7.0/24
33;192.65.185.0/24
355;192.77.55.0
48;193.1.29.192/27
536;193.105.116.0/24
424;193.105.163.0/24
430;193.105.214.0/24
85;193.108.98.0/24
49;193.109.219.0/24
128;193.110.12.0/24,193.110.13.0/24,193.108.17.0/24
76;193.111.172.0/24
368;193.136.251.96/27
63;193.149.0.0/24
298;193.156.120.0/24
582;193.156.125.0/24
83;193.156.90.0/24
77;193.168.127.0/24
331;193.169.198.0/23
392;193.17.78.0/24
87;193.178.185.0/24
55;193.188.137.0/24
208;193.189.130.0/24
123;193.189.82.0
303;193.192.15.64/26
319;193.2.141.0/24
121;193.201.28.0/23
50;193.203.0.0/25
53;193.203.5.0/24
699;193.218.0.0/24
400;193.219.13.64/26
379;193.232.135.0/24
378;193.232.136.0/24
380;193.232.140.0/24
100;193.232.244.0/22
223;193.232.87.0/24
231;193.243.183.64/26
56;193.25.170.0/23
512;193.28.6.0/24
881;193.34.197.128/25
766;193.34.203.0/25
377;193.37.144.0/24
228;193.4.58.0/27
273;193.42.140.0/24
291;193.42.155.0/24
381;193.57.253.128/27
230;193.84.179.0/24
293;194.107.117.0/24
187;194.116.188.0/24
115;194.116.96.0/19
457;194.117.52.128/25
91;194.146.118.0/24
422;194.153.153.0/24
64;194.153.154.0/25
69;194.153.157.192/26
146;194.165.32.0/24
398;194.190.119.0/24
60;194.242.34.14/25
299;194.30.187.0/24
29;194.42.48.0
71;194.50.100.0/24
172;194.50.181.0/24
59;194.53.172.0/25
170;194.54.92.0/25
867;194.54.93.0/25
73;194.59.190.0/24
70;194.68.123.0/24,194.68.128.0/24
34;194.68.129.0/24
192;194.68.130.0/24,195.69.116.0/24
257;194.68.131.64/26
194;194.68.133.0/24,194.68.135.0/24
350;194.85.107.0/24
580;194.85.177.0/24
856;194.85.21.0/24
387;194.88.240.0/25
209;194.9.117.0/24
190;195.137.179.0/24
68;195.140.149.129/25
328;195.140.192.0/24
482;195.149.232.0/21
264;195.182.218/23
283;195.189.188.0/25,195.189.189.0/25,195.189.188.128/25
895;195.189.80.0/22
491;195.191.170.0/23
334;195.2.230.0/23
99;195.242.64.0/23
90;195.245.196.0/24
364;195.246.227.0/24
255;195.42.144.0/24
161;195.60.84.128/25
477;195.60.89.0/25
287;195.60.93.0/26
18;195.66.224.0/23
1016;195.66.228.0/24
583;195.66.244.0/24
745;195.66.246.0/24
193;195.69.117.0/24,195.69.118.0/24
26;195.69.144.0/23
853;195.69.147.111
96;195.85.195.0/24
58;195.85.203.0/24
135;195.85.217.0/24
694;196.201.2.0/24
488;196.216.148.0/24
421;196.223.1.0/24
1027;196.223.12.0/24
1032;196.223.12.0/24
615;196.223.2.0
526;196.223.24.0/24
628;196.223.28.0/24
610;196.223.30.0/24
1046;196.223.32.0/24
1074;196.223.34.0/24
1052;196.223.34.0/24,196.49.1.0/27
922;196.223.35.0/24
967;196.223.38.0/24
810;196.223.4.0/24
1017;196.223.40.0/24
361;196.223.5.0/25
281;196.223.7.0/24
592;196.46.25.155/25
81;198.17.46.0/24
262;198.180.153.0/24
12;198.32.118.0/24
32;198.32.129.0/24
65;198.32.131.0/24
22;198.32.132.0/24
11;198.32.134.0/24
20;198.32.139.0/24
129;198.32.142.0/24
236;198.32.143.0/24
23;198.32.146.0/24
238;198.32.149.0/24
14;198.32.160.0/24
127;198.32.162.0
215;198.32.167.0/24
227;198.32.172.0/24
7;198.32.176.0/24
25;198.32.178.0/24
13;198.32.180.0/24
9;198.32.182.0/24
130;198.32.185.0/24
256;198.32.186.0/24
15;198.32.187.0/24
10;198.32.190.0/24
165;198.32.195.0/24
141;198.32.198.0/24
16;198.32.200.0/24
198;198.32.202.0/24
21;198.32.212.0/24
344;198.32.214.0/24
254;198.32.216.0/24
41;198.32.229.0/24
241;198.32.231.0/24
221;198.32.235.0/24
151;198.32.238.0/24
24;198.32.245.0/24
40;198.32.247.0/24
168;198.32.252.0/24
957;198.78.5.0/24
986;199.168.131.0/25
181;200.0.17.0/24
572;200.0.18.0/24
930;200.0.19.0/24
366;200.0.20.0/23
260;200.0.22.0/23
253;200.1.6.0/24
1023;200.107.83.0/24
904;200.115.81.0/24
1069;200.115.82.0/24
911;200.115.83.0/24
945;200.13.83.0/24
1066;200.14.37.0/24
1070;200.14.38.0/24
1068;200.14.39.0/24
1072;200.14.74.0/24
1067;200.14.75.0/24
603;200.192.109.0/24
575;200.192.111.0/24
314;200.219.144.0/24
556;200.219.144/22
705;200.219.147.0/24
428;198.32.136.0/24,198.32.153.0/24,198.9.201.0/24,198.9.202.0/24
1019;185.1.2.0/24
1018;201.150.124.0/22
991;201.7.220.0/22
44;202.0.91.0/24
207;202.125.128.0/19
1100;202.133.32.0/20
1099;202.133.48.0/20
294;202.158.0.0/17
94;202.167.228.0/25,202.167.228.128/25
1077;202.220.160.0/19
234;202.249.38.0/24
848;202.40.160.123
42;202.40.161.0/24
899;202.72.192.0/20
154;202.78.121.0/24
1054;202.79.197.199
987;202.79.24.0/21,119.15.80.0/20,49.156.32.0/20,103.17.212.0/22,43.245.216.0/22
416;202.85.224.0/20
870;202.95.128.0/19
237;202.97.10.0/24
1025;203.159.68.0/23
823;203.163.222.0/23
167;203.190.230.0/24
829;204.228.153.0/24
397;204.228.158.0/27
944;206.108.115.0/24
565;206.108.236.0/24
640;206.123.30.0/24
563;206.123.7.0/24
