131;20679;Not Disclosed;Balanced;Europe;NSP;Restrictive;N;N
132;8419;100-1000Mbps;Balanced;Europe;NSP;Open;N;N
134;20799;100-1000Mbps;Balanced;Europe;Enterprise;Open;N;N
136;4181;100+ Gbps;Mostly Inbound;North America;Cable/DSL/ISP;Open;N;N
138;3344;100-1000Mbps;Balanced;Europe;Content;Open;N;N
139;9153;5-10Gbps;Mostly Outbound;Europe;NSP;Selective;N;N
140;701;100+ Gbps;Balanced;Global;NSP;Restrictive;N;N
142;99993;Not Disclosed;Mostly Inbound;Regional;Cable/DSL/ISP;Restrictive;N;N
144;29527;1-5Gbps;Heavy Outbound;Europe;Content;Open;N;N
146;21155;1-5Gbps;Mostly Outbound;Europe;NSP;Restrictive;N;N
147;28747;1-5Gbps;Mostly Outbound;Europe;Content;Selective;N;N
149;9044;10-20Gbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
150;6774;Not Disclosed;Mostly Inbound;Global;NSP;Selective;N;N
152;6911;Not Disclosed;Balanced;Europe;Cable/DSL/ISP;Open;N;N
153;23498;Not Disclosed;Mostly Inbound;Regional;NSP;Open;N;N
154;1785;20-50 Gbps;Mostly Inbound;North America;Cable/DSL/ISP;Restrictive;N;N
155;8468;10-20Gbps;Balanced;Europe;NSP;Selective;N;N
156;36168;1-5Gbps;Heavy Outbound;Global;Content;Open;N;N
157;11841;5-10Gbps;Balanced;Regional;Cable/DSL/ISP;Open;N;N
162;25048;0-20 Mbps;Balanced;Europe;NSP;Open;N;N
163;13030;Not Disclosed;Balanced;Global;NSP;Open;N;N
166;5764;100-1000Mbps;Balanced;North America;Cable/DSL/ISP;Open;N;N
169;13657;20-100Mbps;Balanced;Regional;Cable/DSL/ISP;Open;N;N
170;18705;Not Disclosed;Mostly Inbound;Global;NSP;Selective;N;N
172;12059;5-10Gbps;Balanced;North America;Cable/DSL/ISP;Open;N;N
176;21949;1-5Gbps;Heavy Inbound;North America;NSP;Open;N;N
179;3741;10-20Gbps;Balanced;Global;NSP;Selective;N;N
181;24916;5-10Gbps;Balanced;Regional;Cable/DSL/ISP;Open;N;N
182;5769;500-1000 Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Selective;N;N
183;15703;5-10Gbps;Mostly Outbound;Europe;NSP;Selective;N;N
184;9318;500-1000 Gbps;Balanced;Global;NSP;Open;N;N
185;14453;100-1000Mbps;Balanced;North America;NSP;Selective;N;N
186;15600;50-100 Gbps;Mostly Inbound;Europe;Cable/DSL/ISP;Selective;N;N
187;8565;100-1000Mbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
189;24776;20-100Mbps;Balanced;Regional;NSP;Open;N;N
190;29608;100-1000Mbps;Mostly Outbound;Europe;Content;Open;N;N
192;5557;20-100Mbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
196;3320;1 Tbps+;Balanced;Global;NSP;Restrictive;N;N
197;12513;1-5Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
198;5413;20-50 Gbps;Balanced;Europe;Cable/DSL/ISP;Selective;N;N
200;30889;5-10Gbps;Balanced;Europe;NSP;Open;N;N
201;6067;1-5Gbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
202;21069;0-20 Mbps;Mostly Outbound;Europe;Content;Open;N;N
203;25560;1-5Gbps;Mostly Outbound;Regional;Content;Open;N;N
